#Original Added TAGs
AAA = "countries/Alessandria.txt"
AAB = "countries/Alba.txt"
AAI = "countries/AdriaticIslands.txt"
AAL	= "countries/Aalen.txt"
AAR = "countries/Aargau.txt"
ABG = "countries/Albenga.txt"
ABN = "countries/Abensberg.txt"
ABR = "countries/Albret.txt"
ACN = "countries/IarConnacht.txt"
ADR = "countries/Andorra.txt"
AGB = "countries/AlGharb.txt"
AGC = "countries/Algeciras.txt"
AGO = "countries/Angouleme.txt"
AGR = "countries/Agrigento.txt"
AGV = "countries/Algarve.txt"
AHA	= "countries/Ahaus.txt"
AIN = "countries/TirAinmhireach.txt"
ALM = "countries/Almeria.txt"
ALP = "countries/Alpuente.txt"
AMB	= "countries/Oldambt.txt"
AML	= "countries/Amalfi.txt"
ANC	= "countries/Ancona.txt"
ANJ = "countries/AnjouState.txt"
ANM = "countries/Albi.txt"
AOE = "countries/Arborea.txt"
AOS	= "countries/Aosta.txt"
APL = "countries/Apulia.txt"
APR = "countries/Apremont.txt"
APZ	= "countries/Appenzell.txt"
AQE = "countries/AquiTerme.txt"
AQT = "countries/Aquitaine.txt"
ARC = "countries/Arcos.txt"
ARI = "countries/Arianiti.txt"
ARN = "countries/Arnsberg.txt"
ARR = "countries/Albarracin.txt"
ARS = "countries/Arnstein.txt"
ASC	= "countries/Ascoli.txt"
ASE = "countries/ASEngland.txt"
ATI	= "countries/Asti.txt"
ASZ = "countries/Assisi.txt"
ATA = "countries/Arta.txt"
ATO	= "countries/Artois.txt"
AUC = "countries/Auricherland.txt"
AUK = "countries/Aukstaitia.txt"
AUN = "countries/Aunis.txt"
AVS = "countries/Aversa.txt"
AYL = "countries/Argyll.txt"
AZZ	= "countries/Arezzo.txt"
BAA	= "countries/Blamont.txt"
BAE = "countries/Barsei.txt"
BAU	= "countries/BmAugsburg.txt"
BAM	= "countries/Bamberg.txt"
BBR	= "countries/Biberach.txt"
BBX	= "countries/BmBrandenburg.txt"
BCH	= "countries/Bruchhausen.txt"
BCI = "countries/Brescia.txt"
BDC = "countries/Brodnici.txt"
BDF = "countries/Bonndorf.txt"
BDI = "countries/Berladnici.txt"
BDJ = "countries/Badajoz.txt"
BDK = "countries/Bederkesa.txt"
BDN = "countries/Bodonitsa.txt"
BDW	= "countries/Badenweiler.txt"
BEA = "countries/Beaujeu.txt"
BEB = "countries/Bearn.txt"
