capital = "El-Sewes"
culture = al_misr_arabic
religion = sunni
trade_goods = pearls
base_tax = 1
base_production = 1
base_manpower = 1
is_city = yes
hre = no
owner = FTM
controller = FTM
add_core = FTM
center_of_trade = 1
extra_cost = 8

1171.9.13 = {
	owner = MAM
	controller = MAM
	add_core = MAM
	remove_core = FTM
}
1517.1.22 = {
	owner = TUR
	controller = TUR
	add_core = TUR
}
1768.1.1 = {
	owner = MAM
	controller = MAM
	remove_core = TUR
}
1803.5.1 = {
	owner = EGY
	controller = EGY
	add_core = EGY
	remove_core = MAM
}

discovered_by = muslim
discovered_by = ottoman
discovered_by = western
discovered_by = eastern
discovered_by = nomad_group
discovered_by = north_american
